SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
3,4,Mr. Hyunh Goes Country,S03E04
3,5,Casa Paradiso,S03E05
3,6,Gerald's Tonsils,S03E06
3,7,Arnold's Room,S03E07
3,8,Helga vs. Big Patty,S03E08
3,9,Stinky Goes Hollywood,S03E09
3,10,Olga Gets Engaged,S03E10
3,11,Curly Snaps,S03E11
3,12,Pre-Teen Scream,S03E12
3,13,Grandpa's Birthday,S03E13
3,14,Road Trip,S03E14
3,15,Sid's Revenge,S03E15
3,16,Roller Coaster,S03E16
3,17,The Aptitude Test,S03E17
3,18,Oskar Gets a Job,S03E18
3,19,Arnold Betrays Iggy,S03E19
3,20,Helga and the Nanny,S03E20
3,21,Career Day,S03E21
3,22,Hey Harold!,S03E22
3,23,Best Man,S03E23
3,24,Cool Party,S03E24
3,25,Arnold & Lila,S03E25
3,26,Grand Prix,S03E26
3,27,Arnold's Thanksgiving,S03E27
3,28,Helga's Show,S03E28
3,29,The Flood,S03E29
3,30,Phoebe Takes the Fall,S03E30
3,31,The Pig War,S03E31
3,32,Part Time Friends,S03E32
3,33,Biosquare,S03E33
3,34,Crabby Author,S03E34
3,35,Rich Kid,S03E35
3,36,Girl Trouble,S03E36
3,37,School Dance,S03E37
4,1,Full Moon,S04E01
4,2,Student Teacher,S04E02
4,3,Big Gino,S04E03
4,4,Jamie O in Love,S04E04
4,5,Eugene's Birthday,S04E05
4,6,Stinky's Pumpkin,S04E06
4,7,The Beeper Queen,S04E07
4,8,Oskar Can't Read?,S04E08
4,9,Dinner for Four,S04E09
4,10,Phoebe Skips,S04E10
4,11,Helga's Parrot,S04E11
4,12,Chocolate Turtles,S04E12
4,13,Love and Cheese,S04E13
4,14,Weighing Harold,S04E14
4,15,Back to School,S04E15
4,16,Egg Story,S04E16
4,17,It Girl,S04E17
4,18,Deconstructing Arnold,S04E18
4,19,Grudge Match,S04E19
4,20,Polishing Rhonda,S04E20
4,21,Weird Cousin,S04E21
4,22,Baby Oskar,S04E22
4,23,Grandpa's Sister,S04E23
4,24,Synchronized Swimming,S04E24
4,25,Helga Sleepwalks,S04E25
4,26,Fighting Families,S04E26
4,27,Headless Cabbie,S04E27
4,28,Friday the 13th,S04E28
4,29,Veterans Day,S04E29
4,30,Helga on the Couch,S04E30
4,31,Dino Checks Out,S04E31
5,1,Monkeyman!,S05E01
5,2,"Buses, Bikes, and Subways",S05E02
5,3,Helga's Masquerade,S05E03
5,4,Mr. Green Runs,S05E04
5,5,Sid the Vampire Slayer,S05E05
5,6,Big Sis,S05E06
5,7,Bag of Money,S05E07
5,8,Principal Simmons,S05E08
5,9,New Bully on the Block,S05E09
5,10,Phoebe Breaks a Leg,S05E10
5,11,Helga's Locket,S05E11
5,12,Sid and Germs,S05E12
5,13,Suspended,S05E13
5,14,Ernie in Love,S05E14
5,15,Summer Love,S05E15
5,16,Stuck in a Tree,S05E16
5,17,Rhonda Goes Broke,S05E17
5,18,Beaned,S05E18
5,19,Old Iron Man,S05E19
5,20,Arnold Visits Arnie,S05E20
5,21,Chocolate Boy,S05E21
5,22,Harold vs. Patty,S05E22
5,23,Rich Guy,S05E23
5,24,Gerald's Game,S05E24
5,25,Fishing Trip,S05E25
5,26,Married,S05E26
5,27,On the Lam,S05E27
5,28,Family Man,S05E28
5,29,The Racing Mule,S05E29
5,30,Curly's Girl,S05E30
5,31,The Journal,S05E31
5,32,Timberly Loves Arnold,S05E32
5,33,"Eugene, Eugene!",S05E33
5,34,Ghost Bride,S05E34
5,35,Gerald vs. Jamie O,S05E35
5,36,A Day in the Life of a Classroom,S05E36
5,37,Big Bob's Crisis,S05E37
5,38,Phoebe's Little Problem,S05E38
5,39,Grandpa's Packard,S05E39
